 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: Menor 1 ano
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"410010 Abatiá";4;3;4;11
"410020 Adrianópolis";4;5;4;13
"410030 Agudos do Sul";3;2;4;9
"410040 Almirante Tamandaré";80;76;65;221
"410045 Altamira do Paraná";3;6;4;13
"412862 Alto Paraíso";6;2;8;16
"410060 Alto Paraná";10;7;4;21
"410070 Alto Piquiri";9;11;7;27
"410050 Altônia";4;16;6;26
"410080 Alvorada do Sul";3;4;1;8
"410090 Amaporã";5;4;2;11
"410100 Ampére";1;5;5;11
"410105 Anahy";2;2;2;6
"410110 Andirá";10;11;15;36
"410115 Ângulo";2;1;1;4
"410120 Antonina";15;14;10;39
"410130 Antônio Olinto";-;6;1;7
"410140 Apucarana";33;35;27;95
"410150 Arapongas";23;24;26;73
"410160 Arapoti";17;19;26;62
"410170 Araruna";6;11;9;26
"410180 Araucária";54;60;50;164
"410190 Assaí";14;8;15;37
"410200 Assis Chateaubriand";24;22;23;69
"410210 Astorga";16;12;11;39
"410220 Atalaia";1;2;2;5
"410230 Balsa Nova";3;2;7;12
"410240 Bandeirantes";21;20;25;66
"410250 Barbosa Ferraz";17;10;7;34
"410260 Barracão";4;6;1;11
"410280 Bela Vista do Paraíso";14;4;9;27
"410290 Bituruna";9;15;8;32
"410300 Boa Esperança";1;3;3;7
"410305 Boa Vista da Aparecida";3;7;3;13
"410310 Bocaiúva do Sul";5;5;2;12
"410320 Bom Sucesso";5;6;5;16
"410322 Bom Sucesso do Sul";-;1;2;3
"410330 Borrazópolis";5;7;5;17
"410335 Braganey";6;6;5;17
"410337 Brasilândia do Sul";4;-;-;4
"410340 Cafeara";-;1;2;3
"410345 Cafelândia";10;5;5;20
"410347 Cafezal do Sul";4;3;1;8
"410350 Califórnia";2;4;1;7
"410360 Cambará";16;15;11;42
"410370 Cambé";35;26;24;85
"410380 Cambira";3;4;2;9
"410390 Campina da Lagoa";16;16;7;39
"410400 Campina Grande do Sul";20;18;3;41
"410405 Campo Bonito";1;-;3;4
"410410 Campo do Tenente";2;5;2;9
"410420 Campo Largo";53;55;54;162
"410430 Campo Mourão";75;60;51;186
"410440 Cândido de Abreu";6;11;7;24
"410442 Candói";11;11;13;35
"410445 Cantagalo";5;10;11;26
"410450 Capanema";3;8;6;17
"410460 Capitão Leônidas Marques";5;6;4;15
"410470 Carlópolis";9;6;6;21
"410480 Cascavel";114;149;130;393
"410490 Castro";44;58;48;150
"410500 Catanduvas";6;10;7;23
"410510 Centenário do Sul";6;9;9;24
"410520 Cerro Azul";9;13;11;33
"410530 Céu Azul";3;8;5;16
"410540 Chopinzinho";8;2;7;17
"410550 Cianorte";19;22;18;59
"410560 Cidade Gaúcha";7;3;2;12
"410570 Clevelândia";6;5;5;16
"410580 Colombo";116;130;84;330
"410590 Colorado";5;8;6;19
"410600 Congonhinhas";9;6;5;20
"410610 Conselheiro Mairinck";3;3;3;9
"410620 Contenda";8;8;6;22
"410630 Corbélia";13;11;13;37
"410640 Cornélio Procópio";28;17;22;67
"410650 Coronel Vivida";11;4;7;22
"410655 Corumbataí do Sul";8;4;5;17
"410680 Cruz Machado";10;12;13;35
"410657 Cruzeiro do Iguaçu";2;-;2;4
"410660 Cruzeiro do Oeste";18;17;9;44
"410670 Cruzeiro do Sul";1;1;3;5
"410690 Curitiba";670;606;606;1882
"410700 Curiúva";9;14;10;33
"410715 Diamante D'Oeste";5;2;4;11
"410710 Diamante do Norte";5;2;3;10
"410712 Diamante do Sul";-;-;1;1
"410720 Dois Vizinhos";25;26;14;65
"410725 Douradina";2;3;5;10
"410730 Doutor Camargo";4;5;3;12
"412863 Doutor Ulysses";2;1;-;3
"410740 Enéas Marques";3;-;2;5
"410750 Engenheiro Beltrão";5;8;5;18
"410755 Farol";4;2;1;7
"410760 Faxinal";17;21;13;51
"410765 Fazenda Rio Grande";18;25;30;73
"410770 Fênix";5;3;2;10
"410775 Figueira";13;14;10;37
"410785 Flor da Serra do Sul";-;1;2;3
"410780 Floraí";2;1;1;4
"410790 Floresta";1;2;1;4
"410800 Florestópolis";9;6;8;23
"410810 Flórida";-;2;1;3
"410820 Formosa do Oeste";9;6;6;21
"410830 Foz do Iguaçu";94;66;95;255
"410832 Francisco Alves";4;2;2;8
"410840 Francisco Beltrão";38;26;18;82
"410850 General Carneiro";15;8;14;37
"410855 Godoy Moreira";2;2;1;5
"410860 Goioerê";34;22;34;90
"410870 Grandes Rios";5;9;6;20
"410880 Guaíra";23;24;19;66
"410890 Guairaçá";4;4;3;11
"410900 Guapirama";6;3;2;11
"410910 Guaporema";1;-;1;2
"410920 Guaraci";5;2;2;9
"410930 Guaraniaçu";15;16;11;42
"410940 Guarapuava";173;183;158;514
"410950 Guaraqueçaba";3;4;4;11
"410960 Guaratuba";18;20;14;52
"410965 Honório Serpa";-;3;2;5
"410970 Ibaiti";41;37;25;103
"410975 Ibema";3;6;-;9
"410980 Ibiporã";15;18;19;52
"410990 Icaraíma";10;8;6;24
"411000 Iguaraçu";1;1;1;3
"411005 Iguatu";2;2;3;7
"411010 Imbituva";20;15;23;58
"411020 Inácio Martins";11;6;11;28
"411030 Inajá";2;1;-;3
"411040 Indianópolis";1;1;1;3
"411050 Ipiranga";12;11;3;26
"411060 Iporã";11;9;10;30
"411065 Iracema do Oeste";1;2;3;6
"411070 Irati";23;30;28;81
"411080 Iretama";6;6;4;16
"411090 Itaguajé";2;2;1;5
"411095 Itaipulândia";2;1;1;4
"411100 Itambaracá";8;5;6;19
"411110 Itambé";2;2;1;5
"411120 Itapejara d'Oeste";1;2;4;7
"411125 Itaperuçu";18;26;14;58
"411130 Itaúna do Sul";1;1;-;2
"411140 Ivaí";4;3;4;11
"411150 Ivaiporã";32;15;13;60
"411155 Ivaté";5;6;4;15
"411160 Ivatuba";-;2;1;3
"411170 Jaboti";3;3;5;11
"411180 Jacarezinho";30;30;27;87
"411190 Jaguapitã";3;8;4;15
"411200 Jaguariaíva";34;31;31;96
"411210 Jandaia do Sul";8;11;10;29
"411220 Janiópolis";9;6;2;17
"411230 Japira";4;-;1;5
"411240 Japurá";2;7;3;12
"411250 Jardim Alegre";6;7;4;17
"411260 Jardim Olinda";-;-;1;1
"411270 Jataizinho";8;6;5;19
"411275 Jesuítas";9;5;7;21
"411280 Joaquim Távora";8;8;3;19
"411290 Jundiaí do Sul";1;-;1;2
"411295 Juranda";1;4;5;10
"411300 Jussara";3;3;3;9
"411310 Kaloré";4;1;6;11
"411320 Lapa";28;28;26;82
"411325 Laranjal";2;5;3;10
"411330 Laranjeiras do Sul";24;25;23;72
"411340 Leópolis";2;1;1;4
"411342 Lidianópolis";1;2;-;3
"411345 Lindoeste";-;2;3;5
"411350 Loanda";8;12;10;30
"411360 Lobato";-;2;-;2
"411370 Londrina";161;152;134;447
"411373 Luiziana";4;5;5;14
"411375 Lunardelli";8;7;3;18
"411380 Lupionópolis";1;3;2;6
"411390 Mallet";12;7;4;23
"411400 Mamborê";2;7;7;16
"411410 Mandaguaçu";7;15;19;41
"411420 Mandaguari";27;21;10;58
"411430 Mandirituba";11;16;5;32
"411440 Mangueirinha";8;11;6;25
"411450 Manoel Ribas";6;4;8;18
"411460 Marechal Cândido Rondon";10;20;14;44
"411470 Maria Helena";4;6;5;15
"411480 Marialva";11;12;6;29
"411490 Marilândia do Sul";4;6;3;13
"411500 Marilena";1;1;-;2
"411510 Mariluz";8;7;5;20
"411520 Maringá";73;78;79;230
"411530 Mariópolis";-;1;3;4
"411535 Maripá";1;2;-;3
"411540 Marmeleiro";4;11;2;17
"411550 Marumbi";-;1;2;3
"411560 Matelândia";5;5;5;15
"411570 Matinhos";7;6;8;21
"411573 Mato Rico";5;2;-;7
"411575 Mauá da Serra";2;6;10;18
"411580 Medianeira";15;14;14;43
"411585 Mercedes";-;3;-;3
"411590 Mirador";2;1;2;5
"411600 Miraselva";5;-;2;7
"411605 Missal";4;2;4;10
"411610 Moreira Sales";14;14;10;38
"411620 Morretes";12;7;11;30
"411630 Munhoz de Melo";1;1;1;3
"411640 Nossa Senhora das Graças";1;1;2;4
"411650 Nova Aliança do Ivaí";1;-;-;1
"411660 Nova América da Colina";2;3;6;11
"411670 Nova Aurora";8;10;5;23
"411680 Nova Cantu";5;11;7;23
"411690 Nova Esperança";12;12;17;41
"411695 Nova Esperança do Sudoeste";-;-;1;1
"411700 Nova Fátima";6;6;4;16
"411705 Nova Laranjeiras";-;3;3;6
"411710 Nova Londrina";5;11;5;21
"411720 Nova Olímpia";5;2;1;8
"411725 Nova Prata do Iguaçu";3;5;4;12
"411721 Nova Santa Bárbara";3;5;2;10
"411722 Nova Santa Rosa";2;8;1;11
"411727 Nova Tebas";-;1;1;2
"411729 Novo Itacolomi";2;1;-;3
"411730 Ortigueira";12;13;6;31
"411740 Ourizona";1;2;-;3
"411745 Ouro Verde do Oeste";3;-;1;4
"411750 Paiçandu";12;25;11;48
"411760 Palmas";50;56;44;150
"411770 Palmeira";21;19;18;58
"411780 Palmital";13;7;17;37
"411790 Palotina";14;14;5;33
"411800 Paraíso do Norte";8;7;8;23
"411810 Paranacity";7;7;2;16
"411820 Paranaguá";116;121;86;323
"411830 Paranapoema";1;3;1;5
"411840 Paranavaí";28;33;31;92
"411845 Pato Bragado";-;1;1;2
"411850 Pato Branco";13;25;23;61
"411860 Paula Freitas";2;3;5;10
"411870 Paulo Frontin";2;2;2;6
"411880 Peabiru";7;4;7;18
"411890 Pérola";9;13;8;30
"411900 Pérola d'Oeste";2;3;8;13
"411910 Piên";9;10;7;26
"411915 Pinhais";55;50;59;164
"411920 Pinhalão";2;1;1;4
"411930 Pinhão";7;27;28;62
"411940 Piraí do Sul";16;14;13;43
"411950 Piraquara";41;26;22;89
"411960 Pitanga";17;15;11;43
"411965 Pitangueiras";1;-;1;2
"411970 Planaltina do Paraná";2;1;1;4
"411980 Planalto";5;8;4;17
"411990 Ponta Grossa";178;156;164;498
"412000 Porecatu";16;8;6;30
"412010 Porto Amazonas";2;-;-;2
"412020 Porto Rico";1;-;1;2
"412030 Porto Vitória";1;2;2;5
"412035 Pranchita";-;-;3;3
"412040 Presidente Castelo Branco";2;6;-;8
"412050 Primeiro de Maio";3;4;6;13
"412060 Prudentópolis";15;30;23;68
"412070 Quatiguá";3;1;4;8
"412080 Quatro Barras";8;11;12;31
"412085 Quatro Pontes";-;2;1;3
"412090 Quedas do Iguaçu";20;31;15;66
"412100 Querência do Norte";4;6;9;19
"412110 Quinta do Sol";3;3;1;7
"412120 Quitandinha";12;8;6;26
"412125 Ramilândia";2;4;3;9
"412130 Rancho Alegre";2;5;2;9
"412135 Rancho Alegre D'Oeste";5;1;-;6
"412140 Realeza";2;1;3;6
"412150 Rebouças";6;8;8;22
"412160 Renascença";1;1;5;7
"412170 Reserva";10;12;7;29
"412180 Ribeirão Claro";7;5;5;17
"412190 Ribeirão do Pinhal";16;16;11;43
"412200 Rio Azul";11;10;6;27
"412210 Rio Bom";1;2;1;4
"412215 Rio Bonito do Iguaçu";2;2;5;9
"412220 Rio Branco do Sul";44;42;26;112
"412230 Rio Negro";20;18;16;54
"412240 Rolândia";13;28;20;61
"412250 Roncador";15;17;8;40
"412260 Rondon";5;3;6;14
"412265 Rosário do Ivaí";-;6;9;15
"412270 Sabáudia";-;3;-;3
"412280 Salgado Filho";1;5;2;8
"412290 Salto do Itararé";4;5;6;15
"412300 Salto do Lontra";6;2;3;11
"412310 Santa Amélia";7;4;4;15
"412320 Santa Cecília do Pavão";7;2;3;12
"412330 Santa Cruz de Monte Castelo";-;4;1;5
"412340 Santa Fé";2;2;6;10
"412350 Santa Helena";9;7;11;27
"412360 Santa Inês";-;3;2;5
"412370 Santa Isabel do Ivaí";2;5;5;12
"412380 Santa Izabel do Oeste";4;11;6;21
"412382 Santa Lúcia";1;1;3;5
"412385 Santa Maria do Oeste";1;1;2;4
"412390 Santa Mariana";9;8;9;26
"412395 Santa Mônica";-;1;1;2
"412402 Santa Tereza do Oeste";9;5;5;19
"412405 Santa Terezinha de Itaipu";18;8;11;37
"412400 Santana do Itararé";1;10;6;17
"412410 Santo Antônio da Platina";47;39;34;120
"412430 Santo Antônio do Paraíso";1;1;2;4
"412440 Santo Antônio do Sudoeste";2;6;3;11
"412450 Santo Inácio";2;3;2;7
"412460 São Carlos do Ivaí";2;4;3;9
"412470 São Jerônimo da Serra";5;7;4;16
"412480 São João";2;4;5;11
"412490 São João do Caiuá";4;7;4;15
"412500 São João do Ivaí";7;4;4;15
"412510 São João do Triunfo";10;2;7;19
"412520 São Jorge d'Oeste";4;-;3;7
"412530 São Jorge do Ivaí";-;1;2;3
"412535 São Jorge do Patrocínio";3;3;1;7
"412540 São José da Boa Vista";12;5;5;22
"412545 São José das Palmeiras";5;5;5;15
"412550 São José dos Pinhais";108;106;104;318
"412555 São Manoel do Paraná";1;3;3;7
"412560 São Mateus do Sul";27;21;18;66
"412570 São Miguel do Iguaçu";7;4;6;17
"412575 São Pedro do Iguaçu";3;3;1;7
"412580 São Pedro do Ivaí";3;5;6;14
"412590 São Pedro do Paraná";1;-;-;1
"412600 São Sebastião da Amoreira";3;5;5;13
"412610 São Tomé";3;-;2;5
"412620 Sapopema";8;6;7;21
"412625 Sarandi";19;32;37;88
"412627 Saudade do Iguaçu";-;1;1;2
"412630 Sengés";16;18;16;50
"412640 Sertaneja";2;3;1;6
"412650 Sertanópolis";6;3;5;14
"412660 Siqueira Campos";11;8;6;25
"412665 Sulina";1;-;1;2
"412670 Tamboara";1;2;-;3
"412680 Tapejara";5;2;2;9
"412690 Tapira";7;6;-;13
"412700 Teixeira Soares";10;9;12;31
"412710 Telêmaco Borba";56;66;46;168
"412720 Terra Boa";10;6;9;25
"412730 Terra Rica";4;7;7;18
"412740 Terra Roxa";5;12;2;19
"412750 Tibagi";13;19;19;51
"412760 Tijucas do Sul";8;8;1;17
"412770 Toledo";47;39;42;128
"412780 Tomazina";5;8;5;18
"412785 Três Barras do Paraná";4;5;6;15
"412788 Tunas do Paraná";1;3;3;7
"412790 Tuneiras do Oeste";6;3;3;12
"412795 Tupãssi";5;1;4;10
"412796 Turvo";10;14;8;32
"412800 Ubiratã";17;17;26;60
"412810 Umuarama";49;51;39;139
"412820 União da Vitória";31;34;35;100
"412830 Uniflor";1;1;1;3
"412840 Uraí";5;6;12;23
"412853 Ventania";7;8;4;19
"412855 Vera Cruz do Oeste";6;11;10;27
"412860 Verê";3;6;4;13
"412865 Virmond";3;5;-;8
"412870 Vitorino";2;1;-;3
"412850 Wenceslau Braz";21;27;10;58
"412880 Xambrê";4;7;4;15
"410000 Município ignorado - PR";1;1;1;3
"420010 Abelardo Luz";8;6;6;20
"420020 Agrolândia";1;4;5;10
"420030 Agronômica";2;1;2;5
"420040 Água Doce";2;3;5;10
"420050 Águas de Chapecó";5;5;2;12
"420055 Águas Frias";3;1;-;4
"420060 Águas Mornas";1;1;3;5
"420070 Alfredo Wagner";7;3;2;12
"420080 Anchieta";1;5;3;9
"420090 Angelina";2;1;-;3
"420100 Anita Garibaldi";2;4;3;9
"420110 Anitápolis";1;1;1;3
"420120 Antônio Carlos";3;-;1;4
"420125 Apiúna";4;7;4;15
"420127 Arabutã";2;-;1;3
"420130 Araquari";3;1;4;8
"420140 Araranguá";19;19;24;62
"420150 Armazém";-;3;2;5
"420170 Ascurra";3;3;5;11
"420180 Atalanta";-;2;1;3
"420190 Aurora";3;3;1;7
"420205 Balneário Barra do Sul";2;-;-;2
"420200 Balneário Camboriú";26;24;20;70
"421280 Balneário Piçarras";4;1;3;8
"420210 Barra Velha";2;6;6;14
"420215 Belmonte";2;1;-;3
"420220 Benedito Novo";2;2;1;5
"420230 Biguaçu";17;12;12;41
"420240 Blumenau";77;91;97;265
"420250 Bom Jardim da Serra";5;3;1;9
"420260 Bom Retiro";3;7;3;13
"420245 Bombinhas";-;-;1;1
"420270 Botuverá";-;1;-;1
"420280 Braço do Norte";5;7;9;21
"420285 Braço do Trombudo";-;2;1;3
"420290 Brusque";21;15;14;50
"420300 Caçador";26;34;36;96
"420310 Caibi";-;4;7;11
"420315 Calmon";3;1;-;4
"420320 Camboriú";20;21;25;66
"420330 Campo Alegre";4;9;5;18
"420340 Campo Belo do Sul";4;3;3;10
"420350 Campo Erê";5;4;9;18
"420360 Campos Novos";5;2;2;9
"420370 Canelinha";3;3;2;8
"420380 Canoinhas";45;52;44;141
"420390 Capinzal";9;6;8;23
"420395 Capivari de Baixo";3;4;2;9
"420400 Catanduvas";6;1;5;12
"420410 Caxambu do Sul";2;-;-;2
"420415 Celso Ramos";2;-;2;4
"420417 Cerro Negro";3;2;2;7
"420420 Chapecó";42;40;37;119
"420425 Cocal do Sul";-;1;-;1
"420430 Concórdia";20;24;33;77
"420435 Cordilheira Alta";-;1;1;2
"420440 Coronel Freitas";1;2;2;5
"420445 Coronel Martins";2;2;1;5
"420455 Correia Pinto";5;10;8;23
"420450 Corupá";4;1;4;9
"420460 Criciúma";67;59;65;191
"420470 Cunha Porã";2;8;7;17
"420480 Curitibanos";37;20;18;75
"420490 Descanso";2;5;7;14
"420500 Dionísio Cerqueira";2;9;3;14
"420510 Dona Emma";4;2;2;8
"420515 Doutor Pedrinho";-;-;2;2
"420520 Erval Velho";-;1;2;3
"420530 Faxinal dos Guedes";5;4;4;13
"420540 Florianópolis";94;100;98;292
"420543 Formosa do Sul";-;1;-;1
"420545 Forquilhinha";4;-;4;8
"420550 Fraiburgo";17;23;21;61
"420560 Galvão";6;4;4;14
"420570 Garopaba";3;2;3;8
"420580 Garuva";5;3;1;9
"420590 Gaspar";9;13;18;40
"420600 Governador Celso Ramos";-;3;3;6
"420610 Grão Pará";1;3;2;6
"420620 Gravatal";-;2;-;2
"420630 Guabiruba";3;6;4;13
"420640 Guaraciaba";8;4;4;16
"420650 Guaramirim";7;12;3;22
"420660 Guarujá do Sul";2;3;3;8
"420665 Guatambú";1;4;2;7
"420670 Herval d'Oeste";3;8;3;14
"420680 Ibicaré";-;-;3;3
"420690 Ibirama";10;7;7;24
"420700 Içara";9;14;5;28
"420710 Ilhota";4;2;1;7
"420720 Imaruí";1;2;4;7
"420730 Imbituba";10;16;8;34
"420740 Imbuia";3;4;1;8
"420750 Indaial";13;11;10;34
"420760 Ipira";1;1;1;3
"420765 Iporã do Oeste";1;1;2;4
"420768 Ipuaçu";1;2;1;4
"420770 Ipumirim";6;1;5;12
"420775 Iraceminha";5;4;1;10
"420780 Irani";3;13;8;24
"420785 Irati";1;2;1;4
"420790 Irineópolis";6;9;7;22
"420800 Itá";-;2;-;2
"420810 Itaiópolis";11;10;11;32
"420820 Itajaí";48;54;56;158
"420830 Itapema";6;5;7;18
"420840 Itapiranga";7;8;4;19
"420845 Itapoá";2;-;1;3
"420850 Ituporanga";11;7;2;20
"420870 Jacinto Machado";4;3;2;9
"420880 Jaguaruna";2;1;3;6
"420890 Jaraguá do Sul";39;21;32;92
"420895 Jardinópolis";2;-;-;2
"420900 Joaçaba";16;12;20;48
"420910 Joinville";132;79;92;303
"420915 José Boiteux";3;3;4;10
"420920 Lacerdópolis";-;-;1;1
"420930 Lages";107;118;101;326
"420940 Laguna";6;17;14;37
"420945 Lajeado Grande";1;-;-;1
"420950 Laurentino";1;4;1;6
"420960 Lauro Muller";4;6;4;14
"420970 Lebon Régis";2;-;5;7
"420980 Leoberto Leal";1;4;1;6
"420985 Lindóia do Sul";1;1;-;2
"420990 Lontras";4;2;6;12
"421000 Luiz Alves";1;2;6;9
"421005 Macieira";-;-;1;1
"421010 Mafra";16;24;17;57
"421020 Major Gercino";-;1;3;4
"421030 Major Vieira";2;3;2;7
"421040 Maracajá";3;1;3;7
"421050 Maravilha";9;6;5;20
"421055 Marema";3;3;2;8
"421060 Massaranduba";1;5;3;9
"421070 Matos Costa";3;1;3;7
"421080 Meleiro";5;3;2;10
"421085 Mirim Doce";-;3;-;3
"421090 Modelo";2;2;2;6
"421100 Mondaí";5;4;-;9
"421105 Monte Carlo";6;-;3;9
"421110 Monte Castelo";3;6;3;12
"421120 Morro da Fumaça";7;6;7;20
"421125 Morro Grande";-;1;-;1
"421130 Navegantes";14;6;7;27
"421140 Nova Erechim";-;2;3;5
"421150 Nova Trento";3;1;6;10
"421160 Nova Veneza";6;4;4;14
"421165 Novo Horizonte";-;-;1;1
"421170 Orleans";7;9;8;24
"421175 Otacílio Costa";2;5;4;11
"421180 Ouro";-;2;2;4
"421185 Ouro Verde";4;1;1;6
"421190 Palhoça";22;29;32;83
"421200 Palma Sola";2;2;1;5
"421210 Palmitos";5;8;7;20
"421220 Papanduva";9;11;11;31
"421223 Paraíso";2;4;2;8
"421225 Passo de Torres";1;-;1;2
"421227 Passos Maia";-;2;5;7
"421230 Paulo Lopes";1;1;1;3
"421250 Penha";6;3;4;13
"421260 Peritiba";3;-;1;4
"421270 Petrolândia";3;3;1;7
"421290 Pinhalzinho";2;4;3;9
"421300 Pinheiro Preto";-;2;2;4
"421310 Piratuba";3;1;1;5
"421315 Planalto Alegre";1;-;1;2
"421320 Pomerode";5;2;8;15
"421330 Ponte Alta";2;2;3;7
"421335 Ponte Alta do Norte";1;1;2;4
"421340 Ponte Serrada";11;9;11;31
"421350 Porto Belo";4;-;1;5
"421360 Porto União";19;12;13;44
"421370 Pouso Redondo";6;2;4;12
"421380 Praia Grande";4;1;3;8
"421390 Presidente Castello Branco";-;1;-;1
"421400 Presidente Getúlio";4;3;4;11
"421410 Presidente Nereu";3;1;-;4
"421420 Quilombo";5;5;5;15
"421430 Rancho Queimado";2;-;-;2
"421440 Rio das Antas";-;7;1;8
"421450 Rio do Campo";5;3;3;11
"421460 Rio do Oeste";2;5;1;8
"421480 Rio do Sul";15;15;24;54
"421470 Rio dos Cedros";2;3;-;5
"421490 Rio Fortuna";1;1;2;4
"421500 Rio Negrinho";20;22;23;65
"421505 Rio Rufino";2;3;4;9
"421507 Riqueza";1;-;4;5
"421510 Rodeio";-;2;2;4
"421520 Romelândia";-;4;1;5
"421530 Salete";4;6;2;12
"421540 Salto Veloso";1;1;-;2
"421545 Sangão";2;2;2;6
"421550 Santa Cecília";14;20;16;50
"421555 Santa Helena";-;-;2;2
"421565 Santa Rosa do Sul";1;1;5;7
"421567 Santa Terezinha";-;3;1;4
"421570 Santo Amaro da Imperatriz";3;3;7;13
"421580 São Bento do Sul";28;35;36;99
"421590 São Bonifácio";1;-;-;1
"421600 São Carlos";2;2;7;11
"421605 São Cristovão do Sul";-;1;1;2
"421610 São Domingos";3;6;11;20
"421620 São Francisco do Sul";14;14;9;37
"421630 São João Batista";1;2;1;4
"421635 São João do Itaperiú";-;3;1;4
"421625 São João do Oeste";2;3;2;7
"421640 São João do Sul";-;-;1;1
"421650 São Joaquim";6;6;8;20
"421660 São José";37;51;51;139
"421670 São José do Cedro";8;1;7;16
"421680 São José do Cerrito";3;5;2;10
"421690 São Lourenço do Oeste";5;4;5;14
"421700 São Ludgero";3;2;1;6
"421715 São Miguel da Boa Vista";-;1;1;2
"421720 São Miguel do Oeste";25;16;20;61
"421730 Saudades";2;1;3;6
"421740 Schroeder";1;-;-;1
"421750 Seara";5;6;9;20
"421755 Serra Alta";1;1;2;4
"421760 Siderópolis";3;4;1;8
"421770 Sombrio";7;8;3;18
"421775 Sul Brasil";-;-;1;1
"421780 Taió";8;15;12;35
"421790 Tangará";2;5;-;7
"421800 Tijucas";9;9;11;29
"421810 Timbé do Sul";2;1;3;6
"421820 Timbó";8;11;8;27
"421825 Timbó Grande";4;3;8;15
"421830 Três Barras";12;15;12;39
"421840 Treze de Maio";1;2;2;5
"421850 Treze Tílias";1;-;1;2
"421860 Trombudo Central";6;5;6;17
"421870 Tubarão";26;17;22;65
"421875 Tunápolis";1;1;1;3
"421880 Turvo";2;5;6;13
"421885 União do Oeste";2;-;-;2
"421890 Urubici";7;6;3;16
"421895 Urupema";1;1;2;4
"421900 Urussanga";3;7;8;18
"421910 Vargeão";-;1;2;3
"421917 Vargem Bonita";4;-;1;5
"421920 Vidal Ramos";1;3;3;7
"421930 Videira";13;18;12;43
"421935 Vitor Meireles";7;5;5;17
"421940 Witmarsum";2;1;3;6
"421950 Xanxerê";8;26;16;50
"421960 Xavantina";1;2;2;5
"421970 Xaxim";17;25;9;51
"420000 Município ignorado - SC";2;-;3;5
"430005 Água Santa";1;-;1;2
"430010 Agudo";6;5;2;13
"430020 Ajuricaba";3;2;1;6
"430030 Alecrim";4;3;2;9
"430040 Alegrete";43;27;32;102
"430045 Alegria";1;1;1;3
"430050 Alpestre";2;1;2;5
"430055 Alto Alegre";-;-;2;2
"430057 Alto Feliz";1;-;1;2
"430060 Alvorada";109;109;106;324
"430063 Amaral Ferrador";1;1;1;3
"430064 Ametista do Sul";4;2;1;7
"430070 Anta Gorda";1;-;-;1
"430080 Antônio Prado";1;1;3;5
"430085 Arambaré";2;-;-;2
"430090 Aratiba";2;3;2;7
"430100 Arroio do Meio";2;4;9;15
"430120 Arroio do Tigre";11;14;15;40
"430110 Arroio dos Ratos";6;8;4;18
"430130 Arroio Grande";8;10;8;26
"430140 Arvorezinha";4;4;2;10
"430150 Augusto Pestana";1;2;1;4
"430155 Áurea";3;1;-;4
"430160 Bagé";31;42;91;164
"430165 Barão";3;3;1;7
"430170 Barão de Cotegipe";1;1;2;4
"430175 Barão do Triunfo";4;-;-;4
"430185 Barra do Guarita";1;2;-;3
"430190 Barra do Ribeiro";4;3;2;9
"430192 Barra do Rio Azul";2;-;-;2
"430195 Barra Funda";-;-;1;1
"430180 Barracão";3;3;3;9
"430200 Barros Cassal";3;9;3;15
"430210 Bento Gonçalves";19;15;17;51
"430220 Boa Vista do Buricá";-;1;1;2
"430230 Bom Jesus";6;4;5;15
"430235 Bom Princípio";3;2;1;6
"430237 Bom Progresso";-;1;-;1
"430240 Bom Retiro do Sul";4;3;1;8
"430245 Boqueirão do Leão";6;4;8;18
"430250 Bossoroca";1;4;3;8
"430260 Braga";2;1;2;5
"430265 Brochier";1;1;-;2
"430270 Butiá";8;9;6;23
"430280 Caçapava do Sul";22;16;11;49
"430290 Cacequi";6;7;10;23
"430300 Cachoeira do Sul";34;32;30;96
"430310 Cachoeirinha";39;35;49;123
"430320 Cacique Doble";3;2;1;6
"430330 Caibaté";2;4;-;6
"430340 Caiçara";4;2;1;7
"430350 Camaquã";33;24;22;79
"430360 Cambará do Sul";3;3;4;10
"430367 Campestre da Serra";2;-;-;2
"430370 Campina das Missões";1;5;1;7
"430380 Campinas do Sul";2;1;1;4
"430390 Campo Bom";14;15;24;53
"430400 Campo Novo";1;2;2;5
"430410 Campos Borges";3;3;-;6
"430420 Candelária";9;18;8;35
"430430 Cândido Godói";4;8;1;13
"430435 Candiota";2;1;3;6
"430440 Canela";16;15;17;48
"430450 Canguçu";19;13;9;41
"430460 Canoas";110;122;115;347
"430463 Capão da Canoa";16;8;13;37
"430466 Capão do Leão";9;8;8;25
"430468 Capela de Santana";2;-;1;3
"430469 Capitão";-;-;1;1
"430470 Carazinho";14;21;23;58
"430480 Carlos Barbosa";2;1;4;7
"430485 Carlos Gomes";3;1;-;4
"430490 Casca";-;2;1;3
"430495 Caseiros";1;3;1;5
"430500 Catuípe";1;6;4;11
"430510 Caxias do Sul";98;112;121;331
"430511 Centenário";-;3;-;3
"430513 Cerro Branco";3;1;-;4
"430515 Cerro Grande";2;-;-;2
"430517 Cerro Grande do Sul";6;1;8;15
"430520 Cerro Largo";2;2;8;12
"430530 Chapada";7;3;2;12
"430535 Charqueadas";3;6;8;17
"430537 Charrua";1;1;-;2
"430540 Chiapetta";-;1;-;1
"430545 Cidreira";4;5;3;12
"430550 Ciríaco";3;2;2;7
"430558 Colinas";1;1;-;2
