 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 1 a 4 anos
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"150530 Oriximiná";7;7;5;19
"150540 Ourém";2;1;2;5
"150548 Pacajá";2;1;2;5
"150549 Palestina do Pará";-;1;-;1
"150550 Paragominas";13;21;17;51
"150553 Parauapebas";7;6;7;20
"150560 Peixe-Boi";-;1;1;2
"150570 Ponta de Pedras";2;1;-;3
"150580 Portel";6;6;2;14
"150590 Porto de Moz";3;3;4;10
"150600 Prainha";-;2;1;3
"150610 Primavera";4;6;2;12
"150613 Redenção";13;6;19;38
"150616 Rio Maria";3;1;3;7
"150618 Rondon do Pará";5;4;1;10
"150619 Rurópolis";6;3;1;10
"150620 Salinópolis";9;8;7;24
"150630 Salvaterra";4;6;1;11
"150640 Santa Cruz do Arari";1;-;-;1
"150650 Santa Izabel do Pará";1;6;11;18
"150655 Santa Luzia do Pará";3;4;-;7
"150658 Santa Maria das Barreiras";1;1;1;3
"150660 Santa Maria do Pará";-;2;-;2
"150670 Santana do Araguaia";1;-;-;1
"150680 Santarém";39;39;44;122
"150690 Santarém Novo";1;2;-;3
"150700 Santo Antônio do Tauá";-;-;2;2
"150710 São Caetano de Odivelas";2;2;1;5
"150715 São Domingos do Araguaia";-;-;1;1
"150730 São Félix do Xingu";1;1;3;5
"150745 São Geraldo do Araguaia";1;1;1;3
"150747 São João de Pirabas";3;3;-;6
"150760 São Miguel do Guamá";6;6;6;18
"150770 São Sebastião da Boa Vista";4;5;8;17
"150790 Soure";10;6;7;23
"150795 Tailândia";2;3;2;7
"150797 Terra Santa";1;1;4;6
"150800 Tomé-Açu";2;2;2;6
"150805 Trairão";1;-;-;1
"150808 Tucumã";1;1;-;2
"150810 Tucuruí";15;6;10;31
"150812 Ulianópolis";-;-;1;1
"150815 Uruará";1;4;2;7
"150820 Vigia";4;10;9;23
"150830 Viseu";-;1;-;1
"150835 Vitória do Xingu";-;1;1;2
"150840 Xinguara";1;1;-;2
"160010 Amapá";-;2;-;2
"160020 Calçoene";-;-;1;1
"160027 Laranjal do Jari";3;-;-;3
"160030 Macapá";27;48;43;118
"160040 Mazagão";-;-;1;1
"160050 Oiapoque";-;2;-;2
"160053 Porto Grande";1;-;1;2
"160055 Pracuúba";-;1;-;1
"160060 Santana";5;13;12;30
"160005 Serra do Navio";1;1;-;2
"160070 Tartarugalzinho";-;-;1;1
"170070 Alvorada";1;1;-;2
"170100 Ananás";1;-;-;1
"170190 Araguacema";1;1;1;3
"170210 Araguaína";13;21;13;47
"170220 Araguatins";4;4;2;10
"170240 Arraias";-;1;-;1
"170255 Augustinópolis";2;3;3;8
"170290 Axixá do Tocantins";-;2;1;3
"170310 Barrolândia";2;-;-;2
"170370 Brejinho de Nazaré";2;-;1;3
"170380 Buriti do Tocantins";1;1;-;2
"170386 Cariri do Tocantins";-;-;1;1
"170550 Colinas do Tocantins";-;2;2;4
"171670 Colméia";-;1;-;1
"170600 Couto Magalhães";-;1;-;1
"170700 Dianópolis";2;-;-;2
"170740 Esperantina";2;1;1;4
"170765 Figueirópolis";-;-;1;1
"170770 Filadélfia";-;-;1;1
"170820 Formoso do Araguaia";2;1;2;5
"170825 Fortaleza do Tabocão";-;-;1;1
"170930 Guaraí";-;1;2;3
"170950 Gurupi";10;6;6;22
"171050 Itacajá";-;4;1;5
"171110 Itaporã do Tocantins";1;-;1;2
"171250 Marianópolis do Tocantins";1;-;-;1
"171280 Maurilândia do Tocantins";-;1;-;1
"171320 Miracema do Tocantins";1;-;1;2
"171330 Miranorte";-;-;1;1
"171360 Monte do Carmo";1;-;-;1
"171395 Muricilândia";1;-;1;2
"171420 Natividade";3;-;-;3
"171488 Nova Olinda";1;-;1;2
"172100 Palmas";5;5;8;18
"171575 Palmeirópolis";-;-;1;1
"171610 Paraíso do Tocantins";4;1;4;9
"171620 Paranã";1;-;2;3
"171630 Pau D'Arco";1;1;-;2
"171660 Peixe";2;-;1;3
"171790 Ponte Alta do Tocantins";-;-;3;3
"171820 Porto Nacional";2;5;11;18
"171830 Praia Norte";-;2;1;3
"171875 Rio Sono";1;-;-;1
"171880 Sampaio";1;1;3;5
"171886 Santa Fé do Araguaia";-;-;2;2
"171900 Santa Tereza do Tocantins";-;-;1;1
"172020 São Miguel do Tocantins";-;1;-;1
"172030 São Sebastião do Tocantins";1;-;-;1
"172090 Taguatinga";1;-;2;3
"172120 Tocantinópolis";6;2;1;9
"172210 Xambioá";-;4;4;8
"170000 Município ignorado - TO";-;3;2;5
"210005 Açailândia";13;12;14;39
"210020 Alcântara";1;-;-;1
"210040 Altamira do Maranhão";1;-;-;1
"210060 Amarante do Maranhão";-;-;1;1
"210070 Anajatuba";1;1;-;2
"210080 Anapurus";-;1;-;1
"210090 Araioses";-;1;-;1
"210110 Axixá";1;-;-;1
"210120 Bacabal";5;9;12;26
"210130 Bacuri";-;-;1;1
"210140 Balsas";1;3;-;4
"210160 Barra do Corda";11;3;1;15
"210170 Barreirinhas";1;1;2;4
"210190 Bequimão";1;-;-;1
"210200 Bom Jardim";-;1;10;11
"210210 Brejo";-;3;7;10
"210220 Buriti";3;10;4;17
"210270 Cantanhede";3;2;1;6
"210280 Carolina";1;-;-;1
"210290 Carutapera";-;2;-;2
"210300 Caxias";1;1;4;6
"210330 Codó";4;8;4;16
"210350 Colinas";-;-;3;3
"210360 Coroatá";-;2;-;2
"210370 Cururupu";-;3;4;7
"210380 Dom Pedro";-;-;1;1
"210405 Estreito";2;1;-;3
"210430 Godofredo Viana";-;-;1;1
"210520 Igarapé Grande";-;1;-;1
"210530 Imperatriz";6;4;8;18
"210540 Itapecuru Mirim";-;-;2;2
"210550 João Lisboa";-;-;1;1
"210570 Lago da Pedra";-;1;-;1
"210630 Magalhães de Almeida";1;-;-;1
"210640 Mata Roma";-;1;4;5
"210650 Matinha";-;-;1;1
"210750 Paço do Lumiar";2;5;3;10
"210770 Paraibano";1;1;1;3
"210780 Parnarama";1;-;-;1
"210820 Pedreiras";-;1;-;1
"210860 Pinheiro";3;1;3;7
"210870 Pio XII";4;-;-;4
"210880 Pirapemas";-;1;2;3
"210900 Porto Franco";2;2;-;4
"210910 Presidente Dutra";2;-;1;3
"210930 Presidente Vargas";-;-;1;1
"210950 Riachão";-;1;-;1
"210960 Rosário";3;-;1;4
"210980 Santa Helena";1;-;4;5
"210990 Santa Inês";1;-;-;1
"211000 Santa Luzia";1;2;4;7
"211020 Santa Rita";-;-;1;1
"211050 São Bento";-;1;1;2
"211090 São Francisco do Maranhão";-;-;1;1
"211100 São João Batista";1;-;-;1
"211110 São João dos Patos";1;-;1;2
"211120 São José de Ribamar";9;9;5;23
"211130 São Luís";132;120;118;370
"211140 São Luís Gonzaga do Maranhão";-;1;-;1
"211180 Sítio Novo";-;-;1;1
"211210 Timbiras";-;-;1;1
"211220 Timon";14;11;6;31
"211250 Tutóia";1;1;-;2
"211260 Urbano Santos";2;-;-;2
"211270 Vargem Grande";-;-;1;1
"211280 Viana";1;-;3;4
"211290 Vitória do Mearim";-;-;4;4
"211400 Zé Doca";3;-;-;3
"210000 Município ignorado - MA";-;-;4;4
"220010 Agricolândia";1;-;-;1
"220020 Água Branca";-;2;-;2
"220025 Alagoinha do Piauí";1;-;-;1
"220040 Altos";1;2;1;4
"220050 Amarante";1;1;2;4
"220060 Angical do Piauí";1;-;-;1
"220100 Arraial";-;2;-;2
"220120 Barras";9;3;6;18
"220150 Batalha";4;6;5;15
"220190 Bom Jesus";2;-;-;2
"220200 Buriti dos Lopes";1;-;1;2
"220205 Cabeceiras do Piauí";1;-;-;1
"220220 Campo Maior";2;4;2;8
"220230 Canto do Buriti";1;-;2;3
"220240 Capitão de Campos";1;-;-;1
"220260 Castelo do Piauí";-;-;1;1
"220270 Cocal";1;3;1;5
"220275 Colônia do Gurguéia";-;2;-;2
"220277 Colônia do Piauí";1;-;-;1
"220330 Demerval Lobão";-;1;-;1
"220340 Dom Expedito Lopes";2;-;-;2
"220342 Domingos Mourão";-;1;-;1
"220350 Elesbão Veloso";1;-;-;1
"220360 Eliseu Martins";1;-;-;1
"220370 Esperantina";4;1;2;7
"220390 Floriano";1;4;1;6
"220410 Francisco Ayres";2;-;-;2
"220430 Fronteiras";1;-;1;2
"220450 Guadalupe";-;-;1;1
"220460 Hugo Napoleão";1;-;-;1
"220470 Inhuma";-;1;-;1
"220490 Isaías Coelho";1;-;-;1
"220500 Itainópolis";4;2;-;6
"220520 Jaicós";2;-;-;2
"220530 Jerumenha";-;-;1;1
"220540 Joaquim Pires";-;-;4;4
"220560 Landri Sales";-;1;-;1
"220570 Luís Correia";2;-;-;2
"220580 Luzilândia";5;3;-;8
"220600 Marcos Parente";1;-;-;1
"220620 Miguel Alves";1;2;-;3
"220640 Monsenhor Gil";-;2;-;2
"220680 Nossa Senhora dos Remédios";-;-;1;1
"220700 Oeiras";7;6;4;17
"220720 Padre Marcos";2;2;-;4
"220730 Paes Landim";-;-;1;1
"220770 Parnaíba";4;3;3;10
"220780 Paulistana";3;-;-;3
"220790 Pedro II";1;-;2;3
"220800 Picos";3;2;1;6
"220810 Pimenteiras";-;2;-;2
"220820 Pio IX";4;6;1;11
"220830 Piracuruca";4;-;5;9
"220840 Piripiri";7;11;6;24
"220850 Porto";1;-;-;1
"220880 Regeneração";1;-;-;1
"220900 Rio Grande do Piauí";1;-;-;1
"220930 Santa Luz";1;-;-;1
"220950 Santo Inácio do Piauí";1;-;-;1
"220970 São Francisco do Piauí";-;1;-;1
"220980 São Gonçalo do Piauí";1;-;-;1
"221000 São João do Piauí";4;4;3;11
"221010 São José do Peixe";-;1;-;1
"221030 São Julião";2;-;-;2
"221040 São Miguel do Tapuio";2;3;-;5
"221050 São Pedro do Piauí";3;3;-;6
"221080 Simplício Mendes";1;-;-;1
"221100 Teresina";87;61;45;193
"221120 Uruçuí";-;1;-;1
"221130 Valença do Piauí";-;2;3;5
"220000 Município ignorado - PI";1;-;-;1
"230010 Abaiara";-;2;-;2
"230015 Acarape";1;4;1;6
"230020 Acaraú";13;16;8;37
"230030 Acopiara";3;3;8;14
"230040 Aiuaba";1;1;-;2
"230050 Alcântaras";5;1;6;12
"230060 Altaneira";-;1;2;3
"230070 Alto Santo";-;1;2;3
"230075 Amontada";3;2;-;5
"230100 Aquiraz";4;2;3;9
"230110 Aracati";4;5;4;13
"230120 Aracoiaba";-;2;2;4
"230125 Ararendá";1;3;-;4
"230130 Araripe";-;1;-;1
"230140 Aratuba";2;2;3;7
"230160 Assaré";1;-;-;1
"230170 Aurora";-;4;5;9
"230185 Banabuiú";1;5;2;8
"230190 Barbalha";1;-;2;3
"230195 Barreira";2;6;-;8
"230200 Barro";4;1;1;6
"230205 Barroquinha";2;4;4;10
"230210 Baturité";5;4;-;9
"230220 Beberibe";-;1;3;4
"230230 Bela Cruz";4;9;3;16
"230240 Boa Viagem";-;1;-;1
"230250 Brejo Santo";-;-;2;2
"230260 Camocim";6;15;4;25
"230270 Campos Sales";3;1;5;9
"230280 Canindé";12;12;7;31
"230290 Capistrano";-;-;1;1
"230300 Caridade";3;-;-;3
"230310 Cariré";1;2;-;3
"230320 Caririaçu";1;2;4;7
"230330 Cariús";-;3;1;4
"230340 Carnaubal";6;9;6;21
"230350 Cascavel";9;3;4;16
"230360 Catarina";-;1;2;3
"230365 Catunda";-;1;-;1
"230370 Caucaia";12;23;28;63
"230380 Cedro";5;6;2;13
"230390 Chaval";5;4;7;16
"230395 Chorozinho";1;1;5;7
"230400 Coreaú";6;5;1;12
"230410 Crateús";4;6;9;19
"230420 Crato";15;7;9;31
"230423 Croatá";4;13;3;20
"230425 Cruz";1;13;1;15
"230426 Deputado Irapuan Pinheiro";-;-;1;1
"230427 Ererê";-;2;-;2
"230428 Eusébio";2;4;3;9
"230430 Farias Brito";8;1;3;12
"230435 Forquilha";4;3;5;12
"230440 Fortaleza";252;265;285;802
"230445 Fortim";4;1;3;8
"230450 Frecheirinha";1;3;1;5
"230460 General Sampaio";3;1;1;5
"230465 Graça";-;2;1;3
"230470 Granja";4;3;3;10
"230490 Groaíras";1;1;1;3
"230495 Guaiúba";2;1;-;3
"230500 Guaraciaba do Norte";5;3;6;14
"230510 Guaramiranga";1;-;-;1
"230520 Hidrolândia";-;3;-;3
"230523 Horizonte";-;3;2;5
"230530 Ibiapina";2;4;2;8
"230533 Ibicuitinga";-;3;1;4
"230535 Icapuí";5;5;-;10
"230540 Icó";3;4;1;8
"230550 Iguatu";8;13;6;27
"230560 Independência";1;4;3;8
"230565 Ipaporanga";-;5;1;6
"230570 Ipaumirim";2;1;-;3
"230580 Ipu";2;4;1;7
"230590 Ipueiras";3;4;3;10
"230600 Iracema";1;2;2;5
"230610 Irauçuba";2;8;5;15
"230625 Itaitinga";2;5;3;10
"230630 Itapagé";1;6;1;8
"230640 Itapipoca";13;22;6;41
"230650 Itapiúna";1;4;1;6
"230655 Itarema";8;23;8;39
"230660 Itatira";-;2;2;4
"230670 Jaguaretama";1;1;1;3
"230680 Jaguaribara";-;1;1;2
"230690 Jaguaribe";1;3;1;5
"230700 Jaguaruana";2;2;3;7
"230710 Jardim";3;2;2;7
"230725 Jijoca de Jericoacoara";-;-;1;1
"230730 Juazeiro do Norte";17;11;24;52
"230740 Jucás";4;5;3;12
"230750 Lavras da Mangabeira";-;1;-;1
"230760 Limoeiro do Norte";1;5;2;8
"230765 Maracanaú";17;12;9;38
"230770 Maranguape";5;6;19;30
"230780 Marco";5;16;7;28
"230790 Martinópole";-;4;1;5
"230800 Massapê";4;10;5;19
"230810 Mauriti";3;7;6;16
"230820 Meruoca";4;3;1;8
"230835 Milhã";-;5;1;6
"230840 Missão Velha";-;1;4;5
"230850 Mombaça";1;3;3;7
"230860 Monsenhor Tabosa";-;-;1;1
"230870 Morada Nova";7;12;7;26
"230880 Moraújo";4;2;-;6
"230890 Morrinhos";-;7;1;8
"230900 Mucambo";1;3;-;4
"230920 Nova Olinda";1;-;-;1
"230930 Nova Russas";1;2;3;6
"230940 Novo Oriente";2;3;6;11
"230945 Ocara";2;8;2;12
"230950 Orós";1;9;2;12
"230960 Pacajus";-;2;-;2
"230970 Pacatuba";1;2;-;3
"230980 Pacoti";1;1;1;3
"230990 Pacujá";-;1;1;2
"231000 Palhano";-;-;1;1
"231010 Palmácia";4;-;-;4
"231020 Paracuru";2;1;4;7
"231025 Paraipaba";1;-;1;2
"231030 Parambu";4;12;5;21
"231040 Paramoti";4;6;1;11
"231050 Pedra Branca";3;1;3;7
"231060 Penaforte";-;1;-;1
"231070 Pentecoste";-;3;1;4
"231080 Pereiro";1;1;-;2
"231085 Pindoretama";1;5;1;7
"231090 Piquet Carneiro";1;1;-;2
"231095 Pires Ferreira";-;-;1;1
"231100 Poranga";-;2;-;2
"231110 Porteiras";-;2;3;5
"231126 Quiterianópolis";2;2;-;4
"231130 Quixadá";10;9;14;33
"231135 Quixelô";1;2;3;6
"231140 Quixeramobim";3;1;3;7
"231150 Quixeré";2;1;2;5
"231160 Redenção";2;1;3;6
"231170 Reriutaba";-;1;1;2
"231180 Russas";4;1;4;9
"231190 Saboeiro";1;-;-;1
"231195 Salitre";-;1;1;2
"231220 Santa Quitéria";3;6;3;12
"231200 Santana do Acaraú";4;6;4;14
"231210 Santana do Cariri";-;3;-;3
"231230 São Benedito";10;11;9;30
"231240 São Gonçalo do Amarante";4;3;3;10
"231250 São João do Jaguaribe";-;1;-;1
"231260 São Luís do Curu";-;5;1;6
"231270 Senador Pompeu";2;4;2;8
"231280 Senador Sá";1;-;1;2
"231290 Sobral";25;36;15;76
"231310 Tabuleiro do Norte";1;5;-;6
"231320 Tamboril";2;2;3;7
"231325 Tarrafas";-;-;1;1
"231330 Tauá";-;6;4;10
"231335 Tejuçuoca";1;1;1;3
"231340 Tianguá";7;13;5;25
"231350 Trairi";12;11;6;29
"231355 Tururu";1;-;2;3
"231360 Ubajara";5;6;1;12
"231370 Umari";1;2;-;3
"231375 Umirim";-;1;-;1
"231380 Uruburetama";9;11;7;27
"231390 Uruoca";1;-;3;4
"231395 Varjota";-;1;-;1
"231400 Várzea Alegre";-;2;1;3
"231410 Viçosa do Ceará";15;16;8;39
"230000 Município ignorado - CE";-;18;-;18
"240010 Acari";1;1;4;6
"240020 Açu";5;4;2;11
"240030 Afonso Bezerra";-;3;2;5
"240050 Alexandria";1;-;1;2
"240070 Alto do Rodrigues";-;-;1;1
"240080 Angicos";-;-;2;2
"240100 Apodi";3;3;5;11
"240110 Areia Branca";-;1;-;1
"240120 Arês";2;-;1;3
"240130 Augusto Severo";-;1;1;2
"240140 Baía Formosa";3;2;4;9
"240145 Baraúna";1;-;1;2
"240150 Barcelona";1;-;-;1
"240170 Bom Jesus";-;-;1;1
"240180 Brejinho";5;4;4;13
"240190 Caiçara do Rio do Vento";-;-;1;1
"240200 Caicó";3;7;5;15
"240210 Campo Redondo";2;1;1;4
"240220 Canguaretama";2;3;2;7
"240230 Caraúbas";3;5;1;9
"240240 Carnaúba dos Dantas";1;1;-;2
"240250 Carnaubais";-;1;-;1
"240260 Ceará-Mirim";10;3;13;26
"240270 Cerro Corá";-;2;3;5
"240280 Coronel Ezequiel";1;5;1;7
"240290 Coronel João Pessoa";-;-;1;1
"240300 Cruzeta";-;3;1;4
"240310 Currais Novos";3;5;1;9
"240320 Doutor Severiano";-;-;1;1
"240340 Equador";-;-;1;1
"240350 Espírito Santo";1;1;1;3
"240360 Extremoz";-;1;2;3
"240380 Florânia";2;1;1;4
"240390 Francisco Dantas";-;1;1;2
"240400 Frutuoso Gomes";-;1;-;1
"240410 Galinhos";-;1;-;1
"240420 Goianinha";-;9;1;10
"240430 Governador Dix-Sept Rosado";3;2;2;7
"240450 Guamaré";-;-;1;1
"240470 Ipanguaçu";-;2;1;3
"240490 Itaú";1;-;3;4
"240500 Jaçanã";-;3;1;4
"240510 Jandaíra";2;1;-;3
"240520 Janduís";2;-;1;3
"240540 Japi";-;-;1;1
"240560 Jardim de Piranhas";-;1;1;2
"240570 Jardim do Seridó";-;-;1;1
"240580 João Câmara";5;1;2;8
"240590 João Dias";3;1;1;5
"240610 Jucurutu";1;4;2;7
"240650 Lagoa Nova";1;-;-;1
"240660 Lagoa Salgada";-;1;-;1
"240700 Luís Gomes";1;3;-;4
"240710 Macaíba";5;3;7;15
"240720 Macau";4;-;-;4
"240730 Marcelino Vieira";1;-;-;1
"240740 Martins";-;1;1;2
"240750 Maxaranguape";1;-;-;1
"240790 Monte das Gameleiras";2;-;-;2
"240800 Mossoró";31;29;20;80
"240810 Natal";52;64;90;206
"240820 Nísia Floresta";1;1;-;2
"240830 Nova Cruz";11;10;5;26
"240880 Parazinho";1;-;-;1
"240890 Parelhas";5;4;1;10
"240325 Parnamirim";9;7;10;26
"240910 Passa e Fica";4;3;-;7
"240930 Patu";1;-;-;1
"240940 Pau dos Ferros";8;2;2;12
"240980 Pedro Velho";-;1;1;2
"240990 Pendências";-;-;1;1
"241010 Poço Branco";-;10;1;11
"241020 Portalegre";1;-;-;1
"241040 Pureza";-;2;-;2
"241050 Rafael Fernandes";1;-;-;1
"241070 Riacho da Cruz";1;-;-;1
"241090 Riachuelo";-;1;2;3
"241100 Rodolfo Fernandes";-;-;1;1
"241110 Ruy Barbosa";1;-;-;1
"241120 Santa Cruz";3;4;7;14
"241140 Santana do Matos";7;1;-;8
"241150 Santo Antônio";-;1;2;3
"241160 São Bento do Norte";1;1;1;3
"241170 São Bento do Trairí";1;-;1;2
"241180 São Fernando";-;-;1;1
"241200 São Gonçalo do Amarante";2;2;4;8
"241220 São José de Mipibu";3;1;7;11
"241230 São José do Campestre";-;-;1;1
"241240 São José do Seridó";-;-;1;1
"241250 São Miguel";-;1;1;2
"241260 São Paulo do Potengi";-;3;3;6
"241280 São Rafael";-;2;1;3
"241290 São Tomé";-;4;3;7
"241300 São Vicente";1;-;-;1
"241320 Senador Georgino Avelino";2;-;-;2
"241330 Serra de São Bento";-;1;1;2
"241335 Serra do Mel";-;1;-;1
"241340 Serra Negra do Norte";-;1;-;1
"241350 Serrinha";4;1;-;5
"241360 Severiano Melo";-;1;-;1
"241370 Sítio Novo";1;-;1;2
"241390 Taipu";2;-;-;2
"241400 Tangará";2;2;2;6
"241420 Tibau do Sul";-;-;1;1
"241440 Touros";-;2;2;4
"241450 Umarizal";-;-;2;2
"241470 Várzea";-;-;2;2
"241480 Vera Cruz";1;1;2;4
"241500 Vila Flor";-;1;1;2
"240000 Município ignorado - RN";-;1;-;1
"250010 Água Branca";2;-;-;2
"250020 Aguiar";1;1;2;4
"250030 Alagoa Grande";3;10;5;18
"250040 Alagoa Nova";11;2;-;13
"250050 Alagoinha";10;3;1;14
"250060 Alhandra";2;5;4;11
"250080 Araçagi";12;7;-;19
"250090 Arara";4;2;4;10
"250100 Araruna";8;5;1;14
"250110 Areia";4;9;12;25
"250120 Areial";1;-;-;1
"250130 Aroeiras";1;2;1;4
"250140 Baía da Traição";1;-;-;1
"250150 Bananeiras";1;6;2;9
"250160 Barra de Santa Rosa";9;5;7;21
"250170 Barra de São Miguel";1;1;1;3
"250180 Bayeux";7;11;6;24
"250190 Belém";7;2;2;11
"250200 Belém do Brejo do Cruz";-;1;-;1
"250240 Bonito de Santa Fé";-;1;1;2
"250250 Boqueirão";8;4;8;20
"250270 Borborema";4;2;2;8
"250280 Brejo do Cruz";-;1;1;2
